id,indicator_id,province_id,indicator_value,year
,11,6200,98.43,2024
,11,6300,92.44,2024
,11,6400,96.88,2024
,11,6500,100,2024
,11,7100,98.18,2024
,11,7200,96.89,2024
,11,7300,91.91,2024
,11,7400,96.69,2024
,11,7500,97.9,2024
,11,7600,94.03,2024
,11,8100,95.6,2024
,11,8200,87.43,2024
,11,9100,98.45,2024
,11,9400,94.44,2024
,11,1001,88.13,2024
,12,1100,87.57,2024
,12,1200,79.95,2024
,12,1300,75.58,2024
,12,1400,86.21,2024
,12,1500,86.9,2024
,12,1600,89.88,2024
,12,1700,86.34,2024
,12,1800,91.37,2024
,12,1900,83.49,2024
,12,2100,80.79,2024
,12,3100,79.43,2024
,12,3200,86.71,2024
,12,3300,94.42,2024
,12,3400,92.95,2024
,12,3500,92.92,2024
,12,3600,81.06,2024
,12,5100,95,2024
,12,5200,94.63,2024
,12,5300,83.46,2024
,12,6100,82.82,2024
,12,6200,82.95,2024
,12,6300,81.01,2024
,12,6400,78.8,2024
,12,6500,74.55,2024
,12,7100,93.81,2024
,12,7200,81.37,2024
,12,7300,82.76,2024
,12,7400,81.4,2024
,12,7500,88.72,2024
,12,7600,78.49,2024
,12,8100,78.36,2024
,12,8200,81.5,2024
,12,9100,70.52,2024
,12,9400,77.62,2024
,12,1001,85.79,2024
,13,1100,43.34,2024
,13,1200,25.15,2024
,13,1300,37.18,2024
,13,1400,38.48,2024
,13,1500,45.37,2024
,13,1600,32.55,2024
,13,1700,35.66,2024
,13,1800,34.94,2024
,13,1900,26.35,2024
,13,2100,47.37,2024
,13,3100,42,2024
,13,3200,43.62,2024
,13,3300,56.65,2024
,13,3400,71.19,2024
,13,3500,54.25,2024
,13,3600,40.26,2024
,13,5100,98.74,2024
,13,5200,54.05,2024
,13,5300,48.74,2024
,13,6100,33.66,2024
,13,6200,31.28,2024
,13,6300,38.79,2024
,13,6400,36.89,2024
,13,6500,34.79,2024
,13,7100,61.48,2024
,13,7200,50.66,2024
,13,7300,38.45,2024
,13,7400,30.43,2024
,13,7500,32.08,2024
,13,7600,33.7,2024
,13,8100,51.87,2024
,13,8200,60.75,2024
,13,9100,37.7,2024
,13,9400,49.43,2024
,13,1001,42.62,2024
,14,1100,25.16,2024
,14,1200,27.09,2024
,14,1300,29.03,2024
,14,1400,23.56,2024
,14,1500,22.34,2024
,14,1600,23.34,2024
,14,1700,18.55,2024
,14,1800,21.4,2024
,14,1900,27.62,2024
,14,2100,15.76,2024
,14,3100,23.92,2024
,14,3200,24.48,2024
,14,3300,18.77,2024
,14,3400,17.38,2024
,14,3500,21.3,2024
,14,3600,28.49,2024
,14,5100,13.06,2024
,14,5200,20,2024
,14,5300,32.84,2024
,14,6100,20.97,2024
,14,6200,25.1,2024
,14,6300,15.35,2024
,14,6400,21.97,2024
,14,6500,27.91,2024
,14,7100,24.89,2024
,14,7200,28.81,2024
,14,7300,25.45,2024
,14,7400,24.55,2024
,14,7500,35.49,2024
,14,7600,0.5,2024
,14,8100,30.3,2024
,14,8200,20,2024
,14,9100,35.83,2024
,14,9400,21.94,2024
,14,1001,23.08,2024
,15,1100,77.02,2024
,15,1200,79.41,2024
,15,1300,72.05,2024
,15,1400,78.39,2024
,15,1500,79.36,2024
,15,1600,84.52,2024
,15,1700,89.55,2024
,15,1800,88.01,2024
,15,1900,82.1,2024
,15,2100,70.77,2024
,15,3100,69.52,2024
,15,3200,82.48,2024
,15,3300,89.27,2024
,15,3400,83.42,2024
,15,3500,82.17,2024
,15,3600,81.84,2024
,15,5100,85,2024
,15,5200,95,2024
,15,5300,76.76,2024
,15,6100,81.59,2024
,15,6200,84.61,2024
,15,6300,81.67,2024
,15,6400,74.51,2024
,15,6500,74.51,2024
,15,7100,80.1,2024
,15,7200,83.94,2024
,15,7300,88.19,2024
,15,7400,84.18,2024
,15,7500,78.13,2024
,15,7600,95,2024
,15,8100,72.8,2024
,15,8200,80.6,2024
,15,9100,76.04,2024
,15,9400,67.36,2024
,15,1001,82.28,2024
,16,1100,5.23,2024
,16,1200,6.5,2024
,16,1300,8.68,2024
