id,province_id,dimensions_id,description_dimensions,year
84,3200,7,"Rasio Tingkat partisipasi angkatan kerja usia 15 tahun ke atas perempuan terhadap laki-laki masih sedikit dibawah angka nasional, perlu ada usaha lebih bagi pemerintah Jawa Barat untuk meningkatkan kesetaraan gender di masyarakat.",2020
85,3300,1,"Nilai Jawa Tengah diatas angka nasional, terdapat 37 dari 100 penduduk usia 15 tahun ke atas yang sumber penghasilannya berasal dari keterlibatan mereka sebagai pelaku pertunjukkan seni. Bahkan diproyeksikan naik menjadi 61 pada tahun 2024 mendatang.",2020
86,3300,2,"Di dimensi ini, beberapa indikator Jawa Tengah memiliki nilai diatas angka nasional.",2020
87,3300,3,Persentase rumah tangga yang merasa khawatir dengan keamanan saat berjalan kaki sendirian di malam hari dalam setahun terakhir masih dibawah angka nasional. Pemerintah Jawa Tengah perlu memprioritaskan program-program yang dapat meningkatkan keamanan warganya.,2020
88,3300,4,Persentase warisan budaya takbenda yang telah ditetapkan terhadap total registrasi masih dibawah angka nasional.,2020
89,3300,5,"Di dimensi ini, semua nilai indikator Jawa Tengah sudah diatas angka nasional",2020
90,3300,6,Persentase penduduk usia 10 tahun ke atas yang mengunjungi perpustakaan/memanfaatkan taman bacaan masyarakat masih sedikit dibawah angka nasional.Pemerintah Jawa Tengah perlu memberi perhatian lebih untuk meningkatkan minat membaca masyarakat.,2020
91,3300,7,"Rasio anggota parlemen perempuan terhadap laki-laki di Jawa Tengah masih dibawah nilai nasional, dari setiap 100 anggota perlemen laki-laki, hanya terdapat 23 anggota parlemen perempuan.",2020
92,3400,1,"Nilai Jawa Tengah diatas angka nasional, terdapat 65 dari 100 penduduk usia 15 tahun ke atas yang sumber penghasilannya berasal dari keterlibatan mereka sebagai pelaku pertunjukkan seni. Bahkan diproyeksikan naik menjadi 76 pada tahun 2024 mendatang.",2020
93,3400,2,"Di dimensi ini, semua indikator DI Yogyakarta memiliki nilai diatas angka nasional.",2020
94,3400,3,Persentase rumah tangga yang merasa khawatir dengan keamanan saat berjalan kaki sendirian di malam hari dalam setahun terakhir masih dibawah angka nasional. Pemerintah DI Yogyakarta perlu memprioritaskan program-program yang dapat meningkatkan keamanan warganya.,2020
95,3400,4,"Di dimensi ini, semua indikator DI Yogyakarta memiliki nilai diatas angka nasional.",2020
96,3400,5,"Di dimensi ini, semua indikator DI Yogyakarta memiliki nilai diatas angka nasional.",2020
97,3400,6,"Di dimensi ini, semua indikator DI Yogyakarta memiliki nilai diatas angka nasional.",2020
98,3400,7,"Rasio anggota parlemen perempuan terhadap laki-laki di DI Yogyakarta masih dibawah nilai nasional, dari setiap 100 anggota perlemen laki-laki, hanya terdapat 22 anggota parlemen perempuan.",2020
99,3500,1,"Nilai Jawa Timur diatas angka nasional, terdapat 31 dari 100 penduduk usia 15 tahun ke atas yang sumber penghasilannya berasal dari keterlibatan mereka sebagai pelaku pertunjukkan seni. Bahkan diproyeksikan naik menjadi 40 pada tahun 2024 mendatang.",2020
100,3500,2,Persentase Satuan Pendidikan yang mempunyai guru yang mengajar muatan lokal bahasa daerah dan/atau seni budaya masih sedikit dibawah angka naisonal. Pemerintah Jawa Timur perlu meningkatkan program-program yang dapat mencegah punahnya bahasa daerah.,2020
101,3500,3,Persentase rumah tangga yang merasa khawatir dengan keamanan saat berjalan kaki sendirian di malam hari dalam setahun terakhir masih dibawah angka nasional. Pemerintah Jawa Timur perlu memprioritaskan program-program yang dapat meningkatkan keamanan warganya.,2020
102,3500,4,Persentase warisan budaya takbenda yang telah ditetapkan terhadap total registrasi masih dibawah angka nasional.,2020
103,3500,5,Persentase penduduk yang aktif mengikuti kegiatan organisasi dan memberikan saran pendapat masih di bawah nilai nasional. Pemerintah Jawa Timur perlu memprioritaskan program-program yang dapat meningkatkan masyarakat di kegiatan organisasi.,2020
104,3500,6,Persentase penduduk usia 10 tahun ke atas yang membaca selain kitab suci baik cetak maupun elektronik dalam satu minggu terakhir masih sedikit dibawah angka nasional. Pemerintah Jawa Timur perlu memberi perhatian lebih untuk meningkatkan minat membaca masyarakat,2020
105,3500,7,Di dimensi ini semua nilai indikator Jawa Timur masih sedikit dibawah angka nasional. perlu ada usaha lebih bagi pemerintah Jawa Timur untuk meningkatkan kesetaraan gender di masyarakat.,2020
106,3600,1,"Nilai Banten masih jauh dibawah angka nasional, hanya 1 dari 100 penduduk usia 15 tahun ke atas yang sumber penghasilannya berasal dari keterlibatan mereka sebagai pelaku pertunjukkan seni.",2020
107,3600,2,Persentase Satuan Pendidikan yang mempunyai guru yang mengajar muatan lokal bahasa daerah dan/atau seni budaya masih sedikit dibawah angka naisonal. Pemerintah Banten perlu meningkatkan program-program yang dapat mencegah punahnya bahasa daerah.,2020
108,3600,3,Nilai Banten untuk empat indikator di dimensi ini masih dibawah angka nasional. Perlu adanya upaya pemerintah setempat dalam memberikan sosialisasi pemahaman pentingnya kerukunan umat beragama.,2020
109,3600,4,Persentase penduduk yang menggunakan bahasa daerah di rumah atau dalam pergaulan sehari-hari masih cukup jauh dibawah angka nasional. Pemerintah Banten perlu memprioritaskan program-program yang dapat mencegah punahnya bahasa daerah.,2020
110,3600,5,Persentase penduduk yang aktif mengikuti kegiatan organisasi dan memberikan saran pendapat masih di bawah nilai nasional. Pemerintah Banten perlu memprioritaskan program-program yang dapat meningkatkan masyarakat di kegiatan organisasi.,2020
111,3600,6,Persentase penduduk usia 10 tahun ke atas yang membaca selain kitab suci baik cetak maupun elektronik dalam satu minggu terakhir masih sedikit dibawah angka nasional. Pemerintah Banten perlu memberi perhatian lebih untuk meningkatkan minat membaca masyarakat,2020
112,3600,7,Di dimensi ini semua nilai indikator Banten masih sedikit dibawah angka nasional. perlu ada usaha lebih bagi pemerintah Banten untuk meningkatkan kesetaraan gender di masyarakat.,2020
113,5100,1,"Nilai Bali diatas angka nasional, terdapat 43 dari 100 penduduk usia 15 tahun ke atas yang sumber penghasilannya berasal dari keterlibatan mereka sebagai pelaku pertunjukkan seni. Bahkan diproyeksikan naik menjadi 40 pada tahun 2024 mendatang.",2020
114,5100,2,"Di dimensi ini, semua indikator Bali memiliki nilai diatas angka nasional.",2020
115,5100,3,Persentase rumah tangga yang merasa khawatir dengan keamanan saat berjalan kaki sendirian di malam hari dalam setahun terakhir masih dibawah angka nasional. Pemerintah Bali perlu memprioritaskan program-program yang dapat meningkatkan keamanan warganya.,2020
116,5100,4,"Di dimensi ini, semua indikator Bali memiliki nilai diatas angka nasional.",2020
117,5100,5,"Di dimensi ini, semua indikator Bali memiliki nilai diatas angka nasional.",2020
118,5100,6,"Di dimensi ini, semua indikator Bali memiliki nilai diatas angka nasional.",2020
119,5100,7,"Rasio anggota parlemen perempuan terhadap laki-laki di Bali masih dibawah nilai nasional, dari setiap 100 anggota perlemen laki-laki, hanya terdapat 19 anggota parlemen perempuan.",2020
