indicator_id,province_id,indicator_value,year
3,5200,13.47,2018
3,5300,13.1,2018
3,6100,12.55,2018
3,6200,12.55,2018
3,6300,12.5,2018
3,6400,13.67,2018
3,6500,12.82,2018
3,7100,12.68,2018
3,7200,13.13,2018
3,7300,13.34,2018
3,7400,13.53,2018
3,7500,13.03,2018
3,7600,12.59,2018
3,8100,13.92,2018
3,8200,13.62,2018
3,9100,12.53,2018
3,9400,10.83,2018
3,1001,12.91,2018
4,1100,73.74,2018
4,1200,65.08,2018
4,1300,73.85,2018
4,1400,73.26,2018
4,1500,69.64,2018
4,1600,62.79,2018
4,1700,74.85,2018
4,1800,83.15,2018
4,1900,85.44,2018
4,2100,79.85,2018
4,3100,81.57,2018
4,3200,72.54,2018
4,3300,89.39,2018
4,3400,99.54,2018
4,3500,89.15,2018
4,3600,65.07,2018
4,5100,82.16,2018
4,5200,65.92,2018
4,5300,52.99,2018
4,6100,35.93,2018
4,6200,77.16,2018
4,6300,87.61,2018
4,6400,82.78,2018
4,6500,76.5,2018
4,7100,80.1,2018
4,7200,78.16,2018
4,7300,68.24,2018
4,7400,77.74,2018
4,7500,91,2018
4,7600,65.98,2018
4,8100,51.59,2018
4,8200,47.83,2018
4,9100,50.43,2018
4,9400,34.65,2018
4,1001,74.51,2018
5,1100,34,2018
5,1200,32.38,2018
5,1300,26.35,2018
5,1400,33.48,2018
5,1500,22.29,2018
5,1600,27.03,2018
5,1700,23.46,2018
5,1800,33.07,2018
5,1900,22.85,2018
5,2100,29.97,2018
5,3100,21.61,2018
5,3200,23.2,2018
5,3300,22.85,2018
5,3400,15.43,2018
5,3500,19.32,2018
5,3600,24.77,2018
5,5100,39.69,2018
5,5200,27.96,2018
5,5300,32.85,2018
5,6100,28.02,2018
5,6200,32.16,2018
5,6300,26.1,2018
5,6400,22.05,2018
5,6500,28.24,2018
5,7100,25.25,2018
5,7200,21.46,2018
5,7300,32.52,2018
5,7400,30.27,2018
5,7500,24,2018
5,7600,19.64,2018
5,8100,28.56,2018
5,8200,22.18,2018
5,9100,29.56,2018
5,9400,26.72,2018
5,1001,25.37,2018
6,1100,78.05,2018
6,1200,75.73,2018
6,1300,75.77,2018
6,1400,65.26,2018
6,1500,64.9,2018
6,1600,59.36,2018
6,1700,78.97,2018
6,1800,64.47,2018
6,1900,80.78,2018
6,2100,87.24,2018
6,3100,71.45,2018
6,3200,71.22,2018
6,3300,69.28,2018
6,3400,95.18,2018
