indicator_id,province_id,indicator_value,year
11,5200,82.96,2022
11,5300,95.86,2022
11,6100,97.89,2022
11,6200,96.99,2022
11,6300,88.97,2022
11,6400,98.01,2022
11,6500,94.58,2022
11,7100,92.86,2022
11,7200,92.06,2022
11,7300,88.60,2022
11,7400,92.75,2022
11,7500,70.19,2022
11,7600,90.40,2022
11,8100,95.94,2022
11,8200,89.27,2022
11,9100,95.65,2022
11,9400,81.02,2022
11,1001,85.60,2022
12,1100,87.66,2022
12,1200,70.89,2022
12,1300,78.80,2022
12,1400,75.80,2022
12,1500,77.18,2022
12,1600,76.74,2022
12,1700,73.11,2022
12,1800,77.72,2022
12,1900,68.40,2022
12,2100,59.69,2022
12,3100,51.58,2022
12,3200,76.61,2022
12,3300,80.90,2022
12,3400,73.68,2022
12,3500,80.54,2022
12,3600,71.48,2022
12,5100,76.08,2022
12,5200,86.08,2022
12,5300,77.70,2022
12,6100,70.33,2022
12,6200,73.51,2022
12,6300,74.38,2022
12,6400,59.38,2022
12,6500,53.71,2022
12,7100,85.29,2022
12,7200,71.30,2022
12,7300,71.60,2022
12,7400,63.05,2022
12,7500,82.94,2022
12,7600,71.51,2022
12,8100,80.42,2022
12,8200,75.22,2022
12,9100,68.17,2022
12,9400,77.52,2022
12,1001,75.69,2022
13,1100,45.16,2022
13,1200,21.66,2022
13,1300,33.44,2022
13,1400,33.33,2022
13,1500,39.36,2022
13,1600,27.24,2022
13,1700,29.45,2022
13,1800,31.06,2022
13,1900,13.51,2022
13,2100,29.39,2022
13,3100,16.78,2022
13,3200,37.04,2022
13,3300,43.10,2022
13,3400,46.71,2022
13,3500,35.50,2022
13,3600,37.85,2022
13,5100,30.13,2022
13,5200,51.56,2022
13,5300,38.48,2022
13,6100,34.03,2022
13,6200,24.89,2022
13,6300,32.11,2022
13,6400,24.33,2022
13,6500,24.05,2022
13,7100,49.94,2022
13,7200,40.26,2022
13,7300,34.11,2022
13,7400,30.00,2022
